ticker,corp_name,revenue,operating_income,net_income
011230,삼화전자공업,33397439064.0,-7272936114.0,-8224043176.0
011280,태림포장,715375066000.0,-16590677000.0,-20491587000.0
011300,성안머티리얼스,25486891894.0,-10058669422.0,-32356567816.0
011330,유니켐,68216069343.0,-6268370624.0,-10229441710.0
011370,서한,749383130637.0,26460995446.0,19299386915.0
011390,부산산업,124105964709.0,3356780182.0,-2445219636.0
011420,갤럭시아에스엠,32486740470.0,3225224444.0,2896040458.0
011500,한농화성,247473264569.0,6085620165.0,4489860705.0
011560,세보엠이씨,797501249118.0,37668598778.0,35038232420.0
011690,와이투솔루션,154513998976.0,2885968925.0,6584017627.0
011700,한신기계공업,63085257262.0,379049621.0,-475886031.0
011790,SKC,1721564345604.0,-276832854584.0,-455055541599.0
011810,STX,827800000000.0,-8709000000.0,-40885000000.0
012030,DB,587435690902.0,29627168728.0,92786487012.0
012160,영흥,480348334559.0,3072645371.0,-14974053410.0
012170,아센디오,13465653938.0,-4121526339.0,-7849399002.0
012200,계양전기,369125242685.0,-15260824259.0,-61223109319.0
012280,영화금속,301699111405.0,9880071656.0,8654294939.0
012320,경동인베스트,293711565765.0,24395160375.0,21998102729.0
012340,뉴인텍,79500274284.0,-5858956128.0,-6573575825.0
012450,한화에어로스페이스,11240121484118.0,1731878825342.0,2539873460538.0
012510,더존비즈온,402332391243.0,88064046059.0,78026871531.0
012610,경인양행,374231082201.0,24226048531.0,16247818016.0
012620,원일특강,379299734226.0,11977978291.0,6651602462.0
012690,모나리자,126337593913.0,983200038.0,1239373876.0
012700,리드코프,420479804663.0,21553070940.0,9644734020.0
012790,신일제약,89440459441.0,15221696388.0,14300644572.0
012800,대창,1336870975857.0,31349006736.0,3596931864.0
012860,모베이스전자,971549079217.0,34388852386.0,16892843933.0
013000,세우글로벌,35874839491.0,2453243138.0,3459384071.0
013120,동원개발,520374333203.0,21010739831.0,18304188012.0
013310,아진산업,776834397585.0,32271930442.0,18609126718.0
013360,일성건설,500384072213.0,-43590135455.0,-57536646482.0
013570,디와이,1168278437513.0,35621946421.0,34984637348.0
013580,계룡건설산업,3169362271108.0,97717241740.0,54515873225.0
013700,까뮤이앤씨,260379672451.0,-18097320062.0,-21924701376.0
013720,CBI,24448731850.0,1408110915.0,-14778691934.0
013810,스페코,27191519908.0,-5693400709.0,-1705103424.0
013870,지엠비코리아,726708233618.0,22684759351.0,14795280789.0
013890,지누스,920399251687.0,-5445946393.0,-6798402948.0
013990,아가방컴퍼니,182742831122.0,15205969477.0,10186280600.0
014100,메디앙스,48985993990.0,-8815176395.0,-13785663420.0
014130,한익스프레스,712300386074.0,3370635475.0,17158070633.0
014160,대영포장,280835222931.0,923321701.0,-31968504.0
014190,원익큐브,286805365033.0,3564610646.0,2675445879.0
014200,광림,92187272245.0,6043715799.0,-14463195629.0
014280,금강공업,801352012454.0,33048202059.0,16844230742.0
014440,영보화학,117566592036.0,19402482507.0,22553727481.0
014470,부방,348186460187.0,4873277070.0,11519268610.0
014530,극동유화,1062833512172.0,22878631372.0,9642293305.0
014570,고려제약,73001424478.0,9138456105.0,2995105179.0
014580,태경비케이,308594841506.0,42222650666.0,34803878213.0
014620,성광벤드,227683121973.0,41988089482.0,41007522794.0
014680,한솔케미칼,776356975793.0,128825376120.0,124893890949.0
014710,사조씨푸드,188281808578.0,9520883434.0,11803297365.0
014790,HL D&I,1578826536286.0,57892143574.0,21400499991.0
014820,동원시스템즈,1334257031663.0,91904557765.0,72514840371.0
014830,유니드,1111631182007.0,95444584358.0,76234953850.0
014910,성문전자,48061878139.0,1103250622.0,2704580685.0
014940,오리엔탈정공,207305296706.0,24867578285.0,26053461644.0
014970,삼륭물산,94049530822.0,5786457572.0,-5942975136.0
014990,인디에프,114737877861.0,-827177694.0,-1362691726.0
015020,이스타코,11491693531.0,-3286469890.0,-4946233587.0
015230,대창단조,322237329620.0,30073913587.0,32945243186.0
015260,에이엔피,113490429822.0,-5991747978.0,-10344565858.0
015360,INVENI,1160352396000.0,24270272000.0,28572120000.0
015590,DKME,136623566311.0,10022114479.0,2281787710.0
015710,코콤,104993315733.0,3727784568.0,2402516215.0
015750,성우하이텍,4245092707610.0,205882638168.0,135061912598.0
015760,한국전력공사,93398896000000.0,8364710000000.0,3621968000000.0
015860,일진홀딩스,1800024002531.0,72521206741.0,50404281992.0
015890,태경산업,675692460593.0,55683630049.0,40057922305.0
016090,대현,259284732061.0,14372512461.0,15898079623.0
016100,리더스코스메틱,73498715632.0,-2902749222.0,-3248690872.0
016250,SGC E&C,1205586883178.0,10557121015.0,-49045624796.0
016380,KG스틸,3300982020646.0,206016382810.0,132467061440.0
016450,한세예스24홀딩스,2830854661888.0,152254632037.0,24982740795.0
016580,환인제약,259596031749.0,21495286106.0,23380719395.0
016590,신대양제지,658502364521.0,29284139868.0,33264061430.0
016610,DB증권,1318537932981.0,,52937573718.0
016670,디모아,26625181456.0,2141259987.0,3466340906.0
016710,대성홀딩스,1212354718188.0,23297613824.0,44277575016.0
016740,두올,773258596565.0,42917631926.0,16676264495.0
016790,현대사료,128461963646.0,2656039214.0,28440597779.0
016880,웅진,1008111365589.0,31084577897.0,-5176664480.0
016920,카스,156004130939.0,3609514029.0,1310845236.0
017000,신원종합개발,259809713516.0,15013758701.0,5528410647.0
017040,광명전기,142406269452.0,-8771158218.0,-43217121722.0
017180,명문제약,186443052017.0,1928730102.0,-3789893020.0
017250,인터엠,60338490432.0,4404496692.0,2310580605.0
017370,우신시스템,563596965854.0,36066529187.0,33895515946.0
017390,서울도시가스,1703788525280.0,-10285296486.0,34321611906.0
017480,삼현철강,223661506913.0,3559859456.0,5508284894.0
017510,세명전기,14431484950.0,3029673182.0,4685278134.0
017550,수산세보틱스,197892248312.0,12067922457.0,9225939690.0
017650,대림제지,166263916267.0,9834883741.0,13227141032.0
017800,현대엘리베이터,2885296849309.0,225738463277.0,193928194856.0
017810,풀무원,3213696853910.0,91829407927.0,34386551192.0
017860,DS단석,961722369625.0,12187575770.0,-10321573908.0
017900,광전자,130189190329.0,1473042384.0,10620128567.0
017940,E1,11192411812013.0,217605533069.0,65597453043.0
017960,한국카본,741740847191.0,45446301892.0,20321351760.0
018000,유니슨,25733465438.0,-12512162672.0,-22549724060.0
018120,진로발효,101456070092.0,11536816557.0,10505171992.0
018250,애경산업,679076572242.0,46824923401.0,42498547149.0
018290,브이티,431696809961.0,110898660064.0,103998705371.0
018310,삼목에스폼,401900935563.0,75317069744.0,73400633756.0
018470,조일알미늄,498372378613.0,20106641323.0,10984010951.0
018500,동원금속,568241480277.0,35673626927.0,18280642470.0
018620,우진비앤지,55680173272.0,295201914.0,-3829872805.0
018670,SK가스,7095902060317.0,287176575159.0,177768044603.0
018680,서울제약,53579628595.0,1527776530.0,1698603285.0
018700,바른손,67877010734.0,-5731060021.0,-13492429479.0
019010,베뉴지,70124154953.0,17818720567.0,-11317031320.0
019170,신풍제약,221094069689.0,-20455432597.0,-15373463449.0
019180,티에이치엔,651078994161.0,30963784763.0,33467756461.0
019210,와이지-원,574990223686.0,55815895657.0,16982356919.0
019440,세아특수강,1008676692070.0,22956958016.0,11410828358.0
019490,엑시큐어하이트론,6580126289.0,-6329804178.0,-59315409817.0
