ticker,corp_name,유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
090150,아이윈,78.01,2162.0,86.54,217.954,290.0,11.32
123010,아이윈플러스,135.333,1511.0,60.47,72.93,1206.0,47.2
031310,아이즈비전,311.427,653.0,26.11,24.416,2008.0,78.61
462980,아이지넷,137.966,1488.0,59.55,233.751,265.0,10.34
185490,아이진,320.898,630.0,25.19,28.467,1912.0,74.85
059100,아이컴포넌트,212.256,970.0,38.81,47.91,1553.0,60.79
262840,아이퀘스트,269.683,751.0,30.04,14.852,2255.0,88.29
175250,아이큐어,85.341,2075.0,83.06,118.802,721.0,28.2
052460,아이크래프트,205.566,996.0,39.85,80.411,1101.0,43.09
119830,아이텍,258.521,789.0,31.56,36.297,1762.0,68.98
052770,아이톡시,139.637,1474.0,58.99,94.186,929.0,36.35
124500,아이티센글로벌,119.362,1702.0,68.12,193.17,354.0,13.83
031820,아이티센씨티에스,123.436,1657.0,66.32,164.689,449.0,17.55
010280,아이티센엔텍,95.814,1948.0,77.97,249.931,234.0,9.13
232830,아이티센피엔에스,106.079,1836.0,73.49,1214.234,18.0,0.67
372800,아이티아이즈,112.318,1769.0,70.8,226.989,271.0,10.58
084850,아이티엠반도체,54.899,2351.0,94.11,206.211,310.0,12.1
114840,아이패밀리에스씨,320.325,635.0,25.39,33.598,1812.0,70.94
027360,아주IB투자,,,,30.86,1864.0,72.97
139990,아주스틸,53.832,2356.0,94.31,711.17,60.0,2.31
032080,아즈텍WB,638.734,278.0,11.09,11.034,2352.0,92.09
013310,아진산업,88.234,2036.0,81.5,288.874,176.0,6.85
059120,아진엑스텍,689.985,256.0,10.21,12.068,2331.0,91.27
009320,아진전자부품,67.548,2256.0,90.31,254.663,225.0,8.77
203690,아크솔루션스,83.446,2106.0,84.3,135.312,619.0,24.21
158430,아톤,149.097,1402.0,56.11,54.503,1447.0,56.64
200350,아티스트스튜디오,1708.854,52.0,2.04,9.451,2400.0,93.97
321820,아티스트컴퍼니,162.248,1278.0,51.14,125.819,668.0,26.13
001540,안국약품,174.895,1170.0,46.82,83.64,1050.0,41.09
053800,안랩,254.478,805.0,32.2,26.004,1963.0,76.85
065660,안트로젠,3042.07,10.0,0.36,5.323,2497.0,97.77
297570,알로이스,298.489,686.0,27.43,48.271,1546.0,60.52
001780,알루코,92.554,1993.0,79.78,143.543,564.0,22.05
260660,알리코제약,113.484,1754.0,70.2,116.321,741.0,28.99
354320,알멕,121.688,1673.0,66.96,123.291,689.0,26.95
361570,알비더블유,59.166,2327.0,93.15,134.164,625.0,24.44
131370,알서포트,164.423,1257.0,50.3,25.626,1975.0,77.32
140670,알에스오토메이션,136.586,1501.0,60.07,135.164,621.0,24.29
096610,알에프세미,179.723,1136.0,45.45,89.49,979.0,38.31
061040,알에프텍,116.341,1734.0,69.4,105.383,838.0,32.78
148250,알엔투테크놀로지,246.245,836.0,33.44,28.524,1908.0,74.7
347860,알체라,101.907,1892.0,75.73,150.982,525.0,20.52
196170,알테오젠,163.938,1265.0,50.62,49.225,1528.0,59.81
123750,알톤,237.161,878.0,35.12,52.765,1474.0,57.7
085810,알티캐스트,394.909,501.0,20.02,21.557,2087.0,81.71
043100,알파녹스,127.1,1616.0,64.68,116.877,740.0,28.95
117670,알파칩스,195.498,1054.0,42.17,57.962,1390.0,54.41
314140,알피바이오,119.418,1700.0,68.04,55.909,1425.0,55.78
291650,압타머사이언스,483.569,375.0,14.98,25.73,1973.0,77.24
293780,압타바이오,178.79,1144.0,45.77,42.874,1634.0,63.96
018250,애경산업,313.758,650.0,25.99,24.647,2003.0,78.42
161000,애경케미칼,115.63,1739.0,69.6,83.066,1061.0,41.52
310200,애니플러스,99.09,1921.0,76.89,106.384,827.0,32.35
179530,애드바이오텍,54.846,2352.0,94.15,675.603,66.0,2.55
900100,애머릿지,245.256,844.0,33.76,22.328,2058.0,80.57
052790,액토즈소프트,272.562,740.0,29.6,55.357,1433.0,56.09
290740,액트로,163.727,1268.0,50.74,64.619,1302.0,50.96
238090,앤디포스,393.441,505.0,20.18,17.315,2193.0,85.86
092600,앤씨앤,112.088,1772.0,70.93,328.527,145.0,5.64
129890,앱코,450.204,422.0,16.86,72.751,1211.0,47.4
174900,앱클론,128.261,1596.0,63.88,63.854,1313.0,51.39
270520,앱트뉴로사이언스,152.465,1372.0,54.91,155.077,498.0,19.47
255440,야스,210.006,980.0,39.21,27.532,1931.0,75.6
