ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%),ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%),유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
47400,유니온머티리얼,-6.958,1906.0,76.02,253.498,137.0,5.35,-117.427,2498.0,98.23,-15.23,2110.0,84.33,81.462,2129.0,85.22,796.355,53.0,2.04
203450,유니온바이오메트릭스,10.437,822.0,32.76,81.278,384.0,15.06,12.097,419.0,16.44,5.01,943.0,37.66,225.87,911.0,36.44,68.937,1248.0,48.84
11330,유니켐,-37.005,2411.0,96.17,-232.142,2374.0,93.31,-7.683,1911.0,75.14,-9.19,2008.0,80.25,99.425,1916.0,76.69,54.36,1448.0,56.68
77500,유니퀘스트,6.691,1006.0,40.1,0.449,1114.0,43.77,2.224,1396.0,54.88,4.81,962.0,38.42,175.731,1164.0,46.58,108.446,808.0,31.61
11320,유니크,13.937,684.0,27.25,-10.644,1282.0,50.37,6.38,909.0,35.72,2.23,1356.0,54.18,108.049,1816.0,72.69,115.23,752.0,29.42
86390,유니테스트,-44.904,2436.0,97.17,-428.151,2451.0,96.34,-20.572,2149.0,84.5,-25.36,2218.0,88.64,243.853,848.0,33.92,58.153,1389.0,54.37
241690,유니테크노,3.18,1259.0,50.2,-29.07,1563.0,61.42,8.011,726.0,28.52,7.72,625.0,24.95,91.769,1999.0,80.02,65.777,1288.0,50.41
142210,유니트론텍,19.093,540.0,21.51,16.826,830.0,32.6,16.074,245.0,9.6,5.07,931.0,37.19,186.633,1100.0,44.01,136.239,614.0,24.01
389680,유디엠텍,-18.12,2216.0,88.39,-1396.626,2515.0,98.86,-60.856,2421.0,95.2,-33.1,2257.0,90.2,437.057,447.0,17.86,39.31,1704.0,66.71
88340,유라클,4.003,1203.0,47.96,-36.57,1661.0,65.28,9.835,562.0,22.07,4.13,1047.0,41.82,453.863,420.0,16.78,44.395,1605.0,62.83
48430,유라테크,-3.984,1760.0,70.19,74.189,410.0,16.08,9.571,585.0,22.97,5.22,909.0,36.31,431.946,456.0,18.22,22.489,2054.0,80.42
206650,유바이오로직스,38.448,261.0,10.38,345.783,106.0,4.13,16.037,246.0,9.64,35.74,31.0,1.2,193.157,1057.0,42.29,53.057,1468.0,57.46
