ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%)
053980,오상자이엘,13.2,710.0,28.29,25.645,722.0,28.35
036220,오상헬스케어,-77.381,2493.0,99.44,-117.353,2202.0,86.55
052420,오성첨단소재,39.514,251.0,9.98,74.646,407.0,15.97
052300,오션인더블유,-42.665,2430.0,96.93,378.228,99.0,3.85
039200,오스코텍,586.893,9.0,0.32,-91.628,2084.0,81.91
226400,오스테오닉,23.152,452.0,18.0,42.192,574.0,22.53
031510,오스템,-9.939,2002.0,79.85,-95.61,2108.0,82.85
368970,오에스피,-13.819,2114.0,84.32,-102.875,2137.0,84.0
138080,오이솔루션,-30.381,2365.0,94.33,-2.324,1156.0,45.42
080580,오킨스전자,17.29,599.0,23.86,-824.994,2495.0,98.07
067170,오텍,-5.263,1830.0,72.98,52.35,503.0,19.74
353590,오토앤,-5.177,1826.0,72.83,17.844,815.0,32.01
173130,오파스넷,-14.266,2124.0,84.72,-23.648,1468.0,57.69
440320,오픈놀,101.99,81.0,3.19,-92.476,2095.0,82.34
049480,오픈베이스,10.901,797.0,31.76,0.859,1109.0,43.57
394280,오픈엣지테크놀로지,-21.772,2278.0,90.86,55.147,487.0,19.11
309930,오하임앤컴퍼니,15.181,650.0,25.9,-216.142,2366.0,93.0
476060,온코닉테라퓨틱스,-29.53,2360.0,94.13,-315.057,2422.0,95.2
382150,온코크로스,1071.489,6.0,0.2,2.273,1080.0,42.43
005320,온타이드,18.48,562.0,22.39,21.366,768.0,30.16
244460,올리패스,-86.695,2499.0,99.68,-25.12,1493.0,58.67
226950,올릭스,-66.73,2479.0,98.88,70.019,421.0,16.52
057540,옴니시스템,19.316,536.0,21.35,1850.461,15.0,0.55
131030,옵투스제약,13.087,719.0,28.65,4.901,1024.0,40.23
082210,옵트론텍,-6.455,1893.0,75.5,-144.11,2263.0,88.95
109080,옵티시스,8.015,941.0,37.51,225.515,153.0,5.98
380540,옵티코어,-11.509,2052.0,81.84,60.772,456.0,17.89
153710,옵티팜,13.03,724.0,28.85,-6.81,1239.0,48.68
432430,와이랩,28.574,362.0,14.41,82.068,381.0,14.94
338840,와이바이오로직스,65.641,131.0,5.19,-16.719,1369.0,53.79
122990,와이솔,1.421,1400.0,55.83,-96.58,2111.0,82.97
232140,와이씨,-17.219,2200.0,87.75,23.659,747.0,29.34
112290,와이씨켐,12.897,727.0,28.97,4.295,1037.0,40.74
065530,와이어블,9.472,870.0,34.68,32.638,654.0,25.68
067900,와이엔텍,-6.291,1887.0,75.26,-5.738,1216.0,47.78
007530,와이엠,3.555,1240.0,49.44,46.747,543.0,21.31
155650,와이엠씨,-18.034,2215.0,88.35,-56.267,1860.0,73.1
273640,와이엠텍,-11.378,2048.0,81.68,-27.604,1540.0,60.52
251370,와이엠티,7.708,959.0,38.23,-213.386,2364.0,92.92
066430,와이오엠,1.025,1439.0,57.38,621.592,54.0,2.08
209640,와이제이링크,-0.036,1533.0,61.13,-113.831,2187.0,85.96
096250,와이즈넛,-0.715,1571.0,62.65,-50.741,1800.0,70.74
273060,와이즈버즈,122.158,63.0,2.47,953.711,31.0,1.18
019210,와이지-원,3.942,1208.0,48.16,2.067,1086.0,42.67
122870,와이지엔터테인먼트,-35.883,2405.0,95.93,-123.648,2218.0,87.18
011690,와이투솔루션,12.835,729.0,29.05,51.27,513.0,20.13
079000,와토스코리아,-1.019,1584.0,63.17,173.736,208.0,8.14
403490,우듬지팜,12.955,726.0,28.93,5.964,1006.0,39.52
316140,우리금융지주,11.03,786.0,31.32,21.611,765.0,30.04
032820,우리기술,12.798,731.0,29.13,-91.706,2086.0,81.99
041190,우리기술투자,12.598,736.0,29.33,14.132,863.0,33.9
115440,우리넷,10.519,813.0,32.4,136.626,252.0,9.87
046970,우리로,-13.254,2100.0,83.76,-12.981,1319.0,51.83
082850,우리바이오,-2.116,1650.0,65.8,-41.513,1706.0,67.05
215360,우리산업,10.477,818.0,32.6,-26.905,1530.0,60.13
072470,우리산업홀딩스,12.166,746.0,29.73,-29.333,1565.0,61.5
