ticker,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
017940,실적(25회),억원(15회),스포츠(13회),천원(12회),매출(12회),영업이익(12회),전력(12회),렉서스(10회),투자(10회),국내(10회),천억원(9회),그룹(9회),전력인프라(7회),도요타(7회),목재펠릿(7회),소재(6회),증권(6회),BPS(6회),1조(6회),목표주가(5회)
418620,코인(10회),스테이블(9회),스테이블코인(9회),삼성(9회),발행(8회),협력(7회),매도(6회),이에이트(5회),세력(5회),부산디지털자(5회),시디즈(4회),프로(4회),문닫자(4회),힌트(4회),시총(4회),네이버랑(4회),묵고(3회),부산디지털자산거래소와(3회),민주당(3회),국힘(3회)
245620,좀비기업을(2회),박멸하자(2회),어기적(2회),가자(2회),새로운(1회),정부가(1회),이젠(1회),거추장스럽고(1회),쓸데없는(1회),특히(1회),바이오기업중(1회),특례로(1회),빈사의(1회),살충제(1회),뿌리듯이(1회),제거하여(1회),신선한(1회),쾌적한(1회),환경에서(1회),신정부를(1회)
037370,밥값도(2회),여기도(2회),박지만씨(1회),회장(1회),아무나하나(1회),평단가(1회),절대(1회),안판다(1회),주가(1회),폭락(1회),개미들(1회),미쳐(1회),아우성이네(1회),5500원(1회),아우성(1회),,,,,
365550,유상증자(4회),유증가(2회),청약단가(2회),리츠의(1회),법칙(1회),청약(1회),확정가액(1회),가격(1회),유증(1회),신주인수권(1회),주주님들(1회),냉무(1회),확정(1회),유증가로(1회),폭포수(1회),예상(1회),방식(1회),고민중입니다(1회),궁금하네요(1회),예상해봅니다(1회)
383220,무상증자(4회),조루(3회),가입자(2회),가자(2회),시디즈(2회),신규(1회),환영(1회),급등(1회),마라(1회),기도한다(1회),기다려(1회),테워서(1회),그래프가(1회),만원(1회),홀딩스는(1회),날라간다(1회),2주째(1회),10만원(1회),기도(1회),보고만(1회)
007700,단일가(10회),예고(4회),상승(3회),가도(3회),강력(2회),무증하고도(2회),주당(2회),상법개정(2회),매도(2회),보편화(2회),오로라(2회),작전(2회),주가(2회),외인매도(2회),진짜(2회),지정(2회),가즈아(2회),잔치(2회),시원하이(2회),에프앤에프홀딩스(2회)
214270,실적(21회),FSN(14회),투자(12회),억원(7회),마감(6회),성장성(6회),단일가(5회),상한가(5회),극대화(5회),자회사(5회),테크(5회),강화(5회),기관(4회),순매수(4회),입질도(4회),배가(4회),무상증자(4회),수익성(4회),전략적(4회),영업이익(4회)
130500,뭐야(1회),단테(1회),추천주네(1회),못올라가것다(1회),,,,,,,,,,,,,,,,
114090,주가(2회),낮음상대적(2회),배당(2회),카지노(2회),관광레저(2회),업황(2회),분석(2회),무비자(2회),만원(1회),무조건(1회),추가매수(1회),대기(1회),중간배당(1회),시장가로(1회),기법등(1회),팔고싶어(1회),안달(1회),대비(1회),주주로써(1회),롯데나(1회)
900290,전략적(4회),GRT(3회),디지털(2회),자산(2회),승자(2회),돈도(2회),가보자(2회),미국(1회),거래소(1회),어센덱스와(1회),협약(1회),체결(1회),이번(1회),협약은(1회),제휴를(1회),생태계에서(1회),새로운(1회),가치를(1회),창출하는(1회),사업(1회)
