ticker,corp_name,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
443060,HD현대마린솔루션,목표주가(5),주가(4),밸류업(3),대비(3),핵심(3),투자의견(3),매수(3),매출(3),전망(3),지분가치(3),상장(3),실적(3),금융(2),연금(2),상승(2),상법(2),개정안(2),통과(2),,
071970,HD현대마린엔진,조선(67),상장기업(67),브랜드평판지수(62),브랜드(56),빅데이터(52),하락(24),상승(16),분석(13),,,,,,,,,,,,
010620,HD현대미포,조선(70),상장기업(67),브랜드평판지수(62),빅데이터(52),하락(25),사회공헌지수(31),상승(16),배출량(15),,,,,,,,,,,,
322000,HD현대에너지솔루션,태양광(20),신재생에너지(18),에너지(18),원자력(11),원전(11),대비(8),미국(8),국내(7),사업(7),전력(6),글로벌(6),기술(6),발전(6),생산(5),이재명(5),주가(4),,,,
042670,HD현대인프라코어,건설기계(319),글로벌(251),매출(200),미래(170),보통주(151),성장(148),합병(140),엔진(135),장비(115),사업(99),양사(98),동력(95),,,,,,,,
267260,HD현대일렉트릭,전력기기(22),전력(19),초고압(10),전력설비(10),상장기업(10),브랜드평판지수(10),에너지(9),유럽(9),시장(9),인프라(9),브랜드(8),효성중공업(7),공급(7),빅데이터(7),기반(6),장기(6),실적(6),변압기(6),참여지수(6),
329180,HD현대중공업,조선(80),상장기업(69),브랜드평판지수(66),빅데이터(54),참여지수(37),미디어지수(37),커뮤니티지수(37),소통지수(36),시장지수(36),브랜드평판(32),사회공헌지수(32),하락(27),,,,,,,,
097230,HJ중공업,국내(208),중형조선사(159),수주(126),선박(116),컨테이너선(115),한도(102),추가(102),선수금(70),지원(70),환급보증(67),,,,,,,,,,
195940,HK이노엔,실적(242),경영(212),생명과학(166),기준(155),미래(150),윤여원(131),대비(118),핵심(114),화장품(112),전년(93),건기식(92),의약품(86),사업(84),,,,,,,
014790,HL D&I,임원(18),평균(13),건설(9),연봉(9),회사채(8),미등기임원(8),작년(7),원대(5),기준(4),상반기(3),석유화학(3),,,,,,,,,
028300,HLB,교육(76),브랜드(44),독서(41),놀이(39),발달(36),콘텐츠(34),인지(23),아동(22),커리큘럼(22),핵심(20),,,,,,,,,,
003580,HLB글로벌,교육(76),브랜드(44),독서(41),놀이(39),발달(36),콘텐츠(33),인지(23),아동(22),커리큘럼(22),핵심(21),,,,,,,,,,
278650,HLB바이오스텝,온열(10),리프팅(7),국제(6),공동(6),대상(6),치료목적(6),교육(5),비임상(5),기술(5),내시경(5),배지(5),바이오(5),골육종(5),오가노이드(5),인도네시아(4),학술(4),,,,
067630,HLB생명과학,화장품(18),대비(12),코스닥(8),미국(8),거래일(7),개발(6),주가(5),수출(4),바이오(4),,,,,,,,,,,
024850,HLB이노베이션,면역항암제(7),치료제(5),시장(5),신약(4),임상(4),기반(4),면역(4),식품의약국(3),클래스(3),주가(3),,,,,,,,,,
187420,HLB제넥스,파킨슨병(12),투자자(6),신약(5),개발(4),현황(3),기업가치(3),제약바이오(3),퇴행성(3),치료제(3),후보물질(3),치료(3),,,,,,,,,
047920,HLB제약,대비(34),전거래일(25),매출(7),감염병(6),전문의약품(5),코스닥(5),브랜드(5),,,,,,,,,,,,,
115450,HLB테라퓨틱스,임상(6),기준(3),클래스(3),마감(2),미국(2),글로벌(2),바이오(2),신약(2),미팅(2),,,,,,,,,,,
046210,HLB파나진,진단(11),데이터(6),유전체(5),단백질체(5),의료(5),단백질(4),기반(4),차세대(2),분자진단(2),기술(2),분석(2),플랫폼(2),,,,,,,,
196300,HLB펩,화장품(18),미국(7),개발(6),주가(5),수출(4),바이오(4),투자(4),생산(4),,,,,,,,,,,,
204320,HL만도,관세(17),기술(10),실적(9),고객(9),비즈니스(7),판매(5),중국(5),통합(5),시스템(5),가치(5),기업(5),핵심(5),,,,,,,,
060980,HL홀딩스,거래일(9),주가(7),중국(3),지주사(2),,,,,,,,,,,,,,,,
011200,HMM,지분(27),해운(23),위험가중치(19),부산(19),대비(17),선박(16),탄소(13),친환경(13),비율(12),글로벌(12),,,,,,,,,,
403870,HPSP,코스닥(33),상장(12),기업(8),한국거래소(8),기관(7),글로벌(6),시장(6),투자(5),달바글로벌(5),정은보(5),밀리의서재(4),초기(4),플랫폼(4),펀드(4),바이오(4),,,,,
036640,HRS,중국(20),신약개발(12),근로기준법(11),플랫폼(9),위탁(7),개발(6),미국(5),업무(5),근로자성(5),타다(5),경험(4),,,,,,,,,
035000,HS애드,배당소득(7),상법(6),민주당(4),부회장(4),대주주(3),상속세(3),증여세(2),이재명(2),국민의힘(2),,,,,,,,,,,
