ticker,corp_name,ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%)
136480,하림,-4.128,1811.0,71.2,2.22,1358.0,54.26
003380,하림지주,3.125,1292.0,50.79,6.24,780.0,31.15
450330,하스,5.911,973.0,38.24,7.66,629.0,25.11
101670,하이드로리튬,-23.156,2181.0,85.76,108.03,1.0,0.0
365590,하이딥,-82.334,2467.0,97.01,-154.85,2433.0,97.24
149980,하이로닉,-7.713,1913.0,75.22,-15.04,2108.0,84.25
013030,하이록코리아,11.396,460.0,18.06,26.31,63.0,2.48
352820,하이브,-0.104,1624.0,63.85,8.16,589.0,23.51
126700,하이비젼시스템,14.577,300.0,11.76,9.93,464.0,18.51
071090,하이스틸,-0.743,1659.0,65.22,0.37,1619.0,64.69
160190,하이젠알앤엠,-1.911,1718.0,67.55,-0.49,1700.0,67.93
221840,하이즈항공,-19.842,2139.0,84.11,-2.58,1810.0,72.33
106190,하이텍팜,12.094,420.0,16.48,20.07,129.0,5.12
000080,하이트진로,8.452,676.0,26.55,8.01,603.0,24.07
000140,하이트진로홀딩스,8.035,723.0,28.4,8.58,552.0,22.03
065650,하이퍼코퍼레이션,-298.566,2537.0,99.76,-10.35,2030.0,81.13
066130,하츠,8.388,685.0,26.91,5.74,844.0,33.71
004590,한국가구,8.747,644.0,25.3,13.85,289.0,11.52
036460,한국가스공사,11.127,479.0,18.8,7.82,617.0,24.63
039340,한국경제TV,5.179,1059.0,41.62,1.42,1467.0,58.62
005430,한국공항,11.3,469.0,18.41,7.18,673.0,26.87
071050,한국금융지주,11.506,451.0,17.7,5.67,849.0,33.91
034950,한국기업평가,22.359,117.0,4.56,31.41,41.0,1.6
010040,한국내화,2.843,1319.0,51.85,2.06,1379.0,55.1
025540,한국단자공업,14.196,312.0,12.23,11.35,384.0,15.31
222980,한국맥널티,-0.929,1666.0,65.5,0.64,1586.0,63.37
010100,한국무브넥스,12.596,383.0,15.03,2.79,1264.0,50.5
256840,한국비엔씨,5.886,976.0,38.36,12.0,350.0,13.95
219750,한국비티비,-0.743,1659.0,65.22,3.28,1179.0,47.1
004090,한국석유공업,6.876,857.0,33.67,1.93,1396.0,55.78
025550,한국선재,0.333,1581.0,62.16,2.7,1276.0,50.98
002200,한국수출포장공업,1.153,1507.0,59.24,-0.19,1680.0,67.13
002960,한국쉘석유,28.928,56.0,2.16,14.05,279.0,11.12
017890,한국알콜,5.583,1005.0,39.5,6.52,750.0,29.95
000240,한국앤컴퍼니,8.282,691.0,27.14,30.07,48.0,1.88
080720,한국유니온제약,-108.221,2490.0,97.92,-26.23,2220.0,88.72
123890,한국자산신탁,3.597,1225.0,48.15,22.86,87.0,3.44
015760,한국전력공사,9.213,608.0,23.88,8.96,527.0,21.03
041460,한국전자인증,6.908,849.0,33.36,12.74,320.0,12.75
006200,한국전자홀딩스,-0.864,1664.0,65.42,-1.4,1739.0,69.49
101680,한국정밀기계,3.646,1221.0,47.99,3.25,1187.0,47.42
039740,한국정보공학,6.762,872.0,34.26,0.32,1627.0,65.01
053300,한국정보인증,5.477,1018.0,40.01,15.47,227.0,9.04
025770,한국정보통신,15.076,284.0,11.13,4.95,952.0,38.02
027970,한국제지,0.931,1523.0,59.87,2.44,1316.0,52.58
023350,한국종합기술,3.975,1188.0,46.7,0.23,1642.0,65.61
